,Songs,Artists,song_id,artist_id,Release_Date,Album_Art,Popularity,Song_Duration (ms)
0,Exit,Alfa Mist,4UljFuW5rHiRAcV2KpQZjo,2i1CPudyCUjL50Wqjv8AMI,2018-10-07,https://i.scdn.co/image/ab67616d0000b273390335f105ab846f13cd87bc,30,289722
1,Cookie Chips,Rejjie Snow,388bpvPl0s0VxtZorgBFtO,3lLHpTOJ11tWiUNGYN14gt,2020-07-13,https://i.scdn.co/image/ab67616d0000b273af865889727087bf5652aae3,62,259906
2,Colbert,Pivot Gang,1vlQ6COEz1AXKMTZYlbHdQ,0kDgxQlVYVecF6MCNWJTYE,2019-04-19,https://i.scdn.co/image/ab67616d0000b273fda3804879d43b0ea4a9daba,45,213718
3,Self,Noname,0nKiPnnqn6bfn8sPOZJGs8,1EpyA68dKpjf7jXmQL88Hy,2018-09-14,https://i.scdn.co/image/ab67616d0000b273b182a9b2b2904cbbcfe41d4e,60,94932
4,SOMETHING FROM NOTHIN' (feat. Rich The Kid),ADÉ,37pqoamiQVw95UEiiE0viQ,5pDY9dgZO8O1yNZDARb62q,2019-02-15,https://i.scdn.co/image/ab67616d0000b273f0d04f55ec62c4c52733b927,39,155189
5,Follow God,Kanye West,2QpGZOhTCHHiKmpSO9FW4h,5K4W6rqBFWDnAN6FQUkS6x,2019-10-25,https://i.scdn.co/image/ab67616d0000b2731bb797bbfe2480650b6c2964,76,104591
6,Sober,Childish Gambino,5NhlpQ6BOIz3S5welptk1W,73sIBHcqh3Z3NyqHKZ7FOL,2014-10-03,https://i.scdn.co/image/ab67616d0000b2737206597364af87adb3377b0e,73,252026
7,Joyride,Kevin Abstract,7t97jbSsGY54ULs52xAV5a,07EcmJpfAday8xGkslfanE,2019-04-25,https://i.scdn.co/image/ab67616d0000b273595101c281d7e229e1f0e6c4,53,216070
8,"Lockdown (feat. JID, Noname & Jay Rock) - Remix",Anderson .Paak,7HtNRW16rKIWHaHIoRWUbw,3jK9MiCrA42lLAdMGUZpwa,2020-08-07,https://i.scdn.co/image/ab67616d0000b2738d54bda9af74a20244570ec0,67,267040
9,Her,Majid Jordan,6GatnDEhYQLOdRzdVbJaky,4HzKw8XcD0piJmDrrPRCYk,2014-07-17,https://i.scdn.co/image/ab67616d0000b27328213820cb7bb6beee668afa,63,300728
10,Cave Me In,Gallant,79ptYtWnpAnsQutzg2xSFk,7wFDo161xYdeaiLz3KIHoM,2017-01-26,https://i.scdn.co/image/ab67616d0000b27373a3cd1f607ebcab01f219bc,53,214158
11,Diddy Bop (feat. Cam O'bi & Raury),Noname,6JvfBzqZmSiEG5MjM7OcSY,1EpyA68dKpjf7jXmQL88Hy,2016-08-12,https://i.scdn.co/image/ab67616d0000b273e9ef4d0bab9c9bf9ef5d3f36,63,208000
12,Come Home (feat. André 3000),Anderson .Paak,6RpunyUP44SDweJPDScLSF,3jK9MiCrA42lLAdMGUZpwa,2019-04-12,https://i.scdn.co/image/ab67616d0000b2733d5b8fe604275dfab677bd0d,61,266812
13,The Other Side,Hugh Jackman,2cKovq3l6OJjhVVDbVKOsr,5F1aoppMtU3OMiltO8ymJ2,2017-12-08,https://i.scdn.co/image/ab67616d0000b273128057b40732c042c86de1dd,73,214373
14,The Greatest Show,Hugh Jackman,4ylWMuGbMXNDgDd8lErEle,5F1aoppMtU3OMiltO8ymJ2,2017-12-08,https://i.scdn.co/image/ab67616d0000b273128057b40732c042c86de1dd,75,302146
15,Come Alive,Hugh Jackman,5xNUR50KxswPRAvx7S163g,5F1aoppMtU3OMiltO8ymJ2,2017-12-08,https://i.scdn.co/image/ab67616d0000b273128057b40732c042c86de1dd,71,225933
